simetride	Simetrid
anterior fontanelle	LAT:Fonticulus frontalis|große Fontanelle|LAT:Fonticulus anterior|Stirnfontanelle
Runaway-Replication Plasmid Technology	runaway-Replikation
RAPT	runaway-Replikation
acute interstitial pneumonia	akute interstitielle Pneumonie
toxicological-pharmacological test	toxikologisch-pharmakologische Prüfung
zalcitabine	Zalcitabin
high resolution automated microbial identification	hochauflösende automatische Systeme zur Bestimmung von Mikroben
group nursing care	Gruppenpflege
target harmful organism	Zielorganismus
lavoltidine	Lavoltidin
European social security card	Europäische Sozialversicherungskarte
colloidal selenium	kolloides Selen
rate limiting enzyme	limitierendes Enzym
manufacturer's batch number	Ch.-B.|Chargenbezeichnung
orthophenylene diamine	OPD|1-2 Phenylendiamin(o)
OPD	OPD|1-2 Phenylendiamin(o)
co-determination	Mitbestimmung
filling instrument	Plombiergeraet|Plombierinstrument
essential oil	etherisches Öl|aetherisches Öl
ferpifosate sodium	Ferpifosatnatrium
insulin glargine	Insulin glargin
bronchus	Bronchus|Bronche|Bronchie
serum aspartate aminotransferase	Serum-Aspartate-Aminotransferase
alkaloid	Alkaloide
piprozolin	Piprozolin
Kreuznach waters	Kreuznacher Waesser
idiot	Idiot
miroprofen	Miroprofen
embryonic pole	embryonaler Pol
metrafazoline	Metrafazolin
terbogrel	Terbogrel
sodium lactate	Natriumlactat|E 325
E 325	Natriumlactat|E 325
controlled access area	Kontrollbereich
controlled area	Kontrollbereich
homogenizer	Homogenisator
sedative	Beruhigungsmittel|Sedativum
precise dynamic beam control	präzise dynamische Strahlenkontrolle
transmission	Vererbung
heredity	Vererbung
malformation	Fehlbildung|Missbildung
senile macular degeneration	altersbedingte Makuladegeneration|senile Makuladegeneration
age-related macular degeneration	altersbedingte Makuladegeneration|senile Makuladegeneration
ARMD	altersbedingte Makuladegeneration|senile Makuladegeneration
AMD	altersbedingte Makuladegeneration|senile Makuladegeneration
cuprimyxin	Cuprimyxin
cold-pressure-test	Coldpressuretest
parasympathetic nervous system	Pars parasympathica systematics nervorum autonomicorum
salinazid	Salinazid
excess toxicity	übermäßige Toxizität
terofenamate	Terofenamat
bivalent	Bivalent
alexia	Störung des Lesevermögens|sensorische Schreibstörung|Wortblindheit|Alexie
medical auxiliaries	medizinisches Hilfspersonal
tracer radioisotope	Markierungsradioisotop
Catha edulis	Catha edulis|Khat|Kat
khat	Catha edulis|Khat|Kat
kat	Catha edulis|Khat|Kat
responsiveness	Ansprechbarkeit
receptiveness	Ansprechbarkeit
ca-125 antigen	CA 125|CA 12-5|Karzinom-assoziiertes Antigen mit besonderer Spezifität für das Ovarialkarzinom
pivot crown	Stiftkrone einfach
lisinopril	Lisinopril
assisted reproductive techniques	ART|assistierte Reproduktionstechnik
ART	ART|assistierte Reproduktionstechnik
assisted reproductive technology	ART|assistierte Reproduktionstechnik
assisted reproduction technology	ART|assistierte Reproduktionstechnik
smoking when pregnant harms your baby	Rauchen in der Schwangerschaft schadet Ihrem Kind
E599	E599|Perlit
pearlstone	E599|Perlit
perlite	E599|Perlit
urothelial cell	Urothelzelle
maturity determination on premature infants	Frühgeborenenreifebestimmung|Frühgeburten-Reifebestimmung
nagrestipen	Nagrestipen
cell synchronization	Zell-Synchronisation
lead	Ableitung
suction syringe	Absaugspritze
chlorquinaldol	Chlorchinaldol
pengitoxin	Pengitoxin
percentage ripple	Welligkeit
Cartesian theater	Cartesisches Theater
tissue engineered product	biotechnologisch bearbeitetes Gewebeprodukt
Kell antigen	Kell-Antigen
Kell system antingen	Kell-Antigen
Kell blood group system	Kell-Antigen
Jk antigen	Kell-Antigen
atrimustine	Atrimustin
benzpiperylone	Benzpiperylon
dose metric	Dosismessung
clinical documentation	klinische Dokumentation
donation of embryological material	Spende von Embryonalgewebe
litoxetine	Litoxetin
reproductive success	Fortpflanzungserfolg
Washout phase	Abklingphase für Medikamentenwirkungen
hot air sterilizer	Heißluftsterilisator
Gillies operation	Gillies-Operation
sunflower cake	Sonnenblumenkuchen
blood vessel bank	Blutgefaessbank
the embryo becomes individualised	der Embryo wird zum Individuum
pattern of nerve impulses	neurale Aktivität
interior rectal artery	Arteria analis|Arteria rectalis inferior|Arteria haemorrhoidalis inferior
consistency	Konsistenz
arbovirus disease	Arbovirose
aborvirus disease	Arbovirose
mediator	Mediator|Mediatorsubstanz
Pearl index	Pearl-Index
pilot study	Pilotstudie
T4 cell	TH|T-Helferzelle|T-Helfer-Lymphoidozellen|Helferzellen|T4-Helferzelle|CD4-T-Zelle
CD4 T-lymphocyte	TH|T-Helferzelle|T-Helfer-Lymphoidozellen|Helferzellen|T4-Helferzelle|CD4-T-Zelle
CD4 T cell	TH|T-Helferzelle|T-Helfer-Lymphoidozellen|Helferzellen|T4-Helferzelle|CD4-T-Zelle
CD4+	TH|T-Helferzelle|T-Helfer-Lymphoidozellen|Helferzellen|T4-Helferzelle|CD4-T-Zelle
CD4 lymphocyte	TH|T-Helferzelle|T-Helfer-Lymphoidozellen|Helferzellen|T4-Helferzelle|CD4-T-Zelle
CD4+ T4 lymphocyte	TH|T-Helferzelle|T-Helfer-Lymphoidozellen|Helferzellen|T4-Helferzelle|CD4-T-Zelle
T4 helper	TH|T-Helferzelle|T-Helfer-Lymphoidozellen|Helferzellen|T4-Helferzelle|CD4-T-Zelle
CD4+ T4 helper	TH|T-Helferzelle|T-Helfer-Lymphoidozellen|Helferzellen|T4-Helferzelle|CD4-T-Zelle
inducer cell	TH|T-Helferzelle|T-Helfer-Lymphoidozellen|Helferzellen|T4-Helferzelle|CD4-T-Zelle
helper lymphocyte	TH|T-Helferzelle|T-Helfer-Lymphoidozellen|Helferzellen|T4-Helferzelle|CD4-T-Zelle
helper cell	TH|T-Helferzelle|T-Helfer-Lymphoidozellen|Helferzellen|T4-Helferzelle|CD4-T-Zelle
T-helper cell	TH|T-Helferzelle|T-Helfer-Lymphoidozellen|Helferzellen|T4-Helferzelle|CD4-T-Zelle
helper T-cell	TH|T-Helferzelle|T-Helfer-Lymphoidozellen|Helferzellen|T4-Helferzelle|CD4-T-Zelle
helper T lymphocyte	TH|T-Helferzelle|T-Helfer-Lymphoidozellen|Helferzellen|T4-Helferzelle|CD4-T-Zelle
helper CD4 cell	TH|T-Helferzelle|T-Helfer-Lymphoidozellen|Helferzellen|T4-Helferzelle|CD4-T-Zelle
inducer T-lymphocyte	TH|T-Helferzelle|T-Helfer-Lymphoidozellen|Helferzellen|T4-Helferzelle|CD4-T-Zelle
helper-inducer T-cell	TH|T-Helferzelle|T-Helfer-Lymphoidozellen|Helferzellen|T4-Helferzelle|CD4-T-Zelle
animal experimentation	Tierversuch
respiratory failure	respiratorische Insuffizienz|Ateminsuffizienz
post-opinion phase	Nach-Gutachten-Phase|Phase nach Annahme des Gutachtens
suspected incident	mutmaßliches Vorkommnis
monorchid	monorchidie|monorchismus|monorchidismus|monorchie
egtazic acid	Egtazinsäure
viral integration in the genome	Viralintegration in das Genom
infectious load	Infektionsgrad
DNA photolysis	DNS-Photolyse
roletamide	Roletamid
mutism	Mutismus|Aphasia paranoica
pramlintide	Pramlintid
chondroma	Knorpeltumor
difencloxazine	Difencloxazin
<i>Streptococcus lactis</i>	Milchferment
<i>Lactococcus lactis</i>	Milchferment
retinoic acid	Retinolsäure
RA	Retinolsäure
EU OSH Strategic Framework 2014-2020	strategischer Rahmen der EU für Gesundheit und Sicherheit am Arbeitsplatz 2014-2020
EU Occupational Safety and Health Strategic Framework 2014-2020	strategischer Rahmen der EU für Gesundheit und Sicherheit am Arbeitsplatz 2014-2020
EU Strategic Framework on Health and Safety at Work 2014-2020	strategischer Rahmen der EU für Gesundheit und Sicherheit am Arbeitsplatz 2014-2020
nasal inhalant drugs	Inhalations-Narkotika
deoxynucleoside	Desoxynucleosid
opting-in system	ausdrücklich erteilte Zustimmung|Einwilligungssystem|Opt-in-System
explicit consent system	ausdrücklich erteilte Zustimmung|Einwilligungssystem|Opt-in-System
opt-in system	ausdrücklich erteilte Zustimmung|Einwilligungssystem|Opt-in-System
moxifloxacin	Moxifloxacin
adenomyofibroma	Adenomyofibrom
pronator	Pronator
Sauerbruch pulmonary resection	Sauerbruch-Operation
neuron released from inhibition	enthemmtes Neuron
L-dopa	L-Dopa|Levodopa
levadopa	L-Dopa|Levodopa
E 304 ii	E 304 ii|Ascorbylstearat
ascorbyl stearate	E 304 ii|Ascorbylstearat
thinking disorder	geistige Verwirrtheit
thought disorder	geistige Verwirrtheit
immunostimulatory complex	immunstimulierende Komplex
immune-stimulating complex	immunstimulierende Komplex
iscom	immunstimulierende Komplex
micro-trauma	Mikro-Trauma
isodisomy	Isodisomie
Family	Familie
nifuralide	Nifuralid
medical health officer	Amtsarzt
tolnaftate	Tolnaftat
isolation	Isolierung
first aid kit	Sanitätskasten
first aid outfit	Sanitätskasten
poison information centre	Giftinformationsstelle
spiroxepin	Spiroxepin
half-value depth	GHWS|Gewebe-Halbwerttiefe|GHWT|Gewebehalbwertschicht
HVD	GHWS|Gewebe-Halbwerttiefe|GHWT|Gewebehalbwertschicht
health crisis	Gesundheitskrise
toxic disease	toxische Krankheit
keratolytic agent	Keratolytica|Keratolytika
zolimidine	Zolimidin
epistatic deviation	Überdeckung der Genexpression durch den epistatischen Effekt|Unterdrückung der Genexpression durch den epistatischen Effekt
annual genetically significant dose	genetisch signifikante Jahresdosis
arsenic dermatosis	Arsen-Dermatitis|Arsenausschlag
arsenic pock	Arsen-Dermatitis|Arsenausschlag
arsenical dermatitis	Arsen-Dermatitis|Arsenausschlag
doxazosin	Doxazosin
Turner syndrome	Turner-Syndrom
Turner's syndrome	Turner-Syndrom
Bonnevie-Ullrich syndrome	Turner-Syndrom
gonadal dysgenesis XO	Turner-Syndrom
monosomy X	Turner-Syndrom
Turner-Ullrich syndrome	Turner-Syndrom
XO syndrome	Turner-Syndrom
lumbar puncture needle	Lumbarpunktionsnadel
spinal needle	Lumbarpunktionsnadel
diabetes	Diabetes|Diabetes mellitus|Zuckerkrankheit|Zuckerharnruhr|Harnruhr|Diabetes verus
diabetes mellitus	Diabetes|Diabetes mellitus|Zuckerkrankheit|Zuckerharnruhr|Harnruhr|Diabetes verus
HLA typing	HLA-Typisierung
human lymphocyte antigen typing	HLA-Typisierung
life-saving drug	lebensrettendes Arzneimittel
assistance in doctors' practices and outpatient entities	Ordinationsassistenz
constituents of the pharmaceutical form	Bestandteile, die dem Arzneimittel seine äußere pharmazeutische Form geben
dormant retroviral gene	ruhendes retrovirales Gen
Carrel-Stich suture	Carrel-Stich Naht
Multistage model	Mehrphasenmodell|Mehrstufenmodell
back massage	Rückenmassage
tiamulin	Tiamulin
actinomycosis	Strahlenpilzkrankheit|Aktinomykose
wooden tongue	Strahlenpilzkrankheit|Aktinomykose
European network of health-promoting schools	Netz der gesundheitsfördernden Schulen
DVM	DVM|Universitätsdiplom in Veterinärmedizin
University Diploma in Veterinary Medicine	DVM|Universitätsdiplom in Veterinärmedizin
amiterol	Amiterol
West's endonasal operation on a lachrymal sac	Traenensackoperation vom Naseninnern aus nach West
rapid test	Schnelltest
RDT	Schnelltest
rapid diagnostic test	Schnelltest
spastic	Spastiker
theodrenaline	Theodrenalin
irritants	Irritantia remedia
European Legal Database on Drugs	Europäische Rechtsdatenbank zur Drogengesetzgebung
ELDD	Europäische Rechtsdatenbank zur Drogengesetzgebung
encephalitis	Gehirnentzündung|Enzephalitis|Encephalitis
human placenta	Humanplacenta
antogonist effect	antagonistischer Effekt
cosmetics	Kosmetika|kosmetische Mittel
streptococcus	Streptokokkus|Streptococcus
infected area	Seuchengebiet|infiziertes Gebiet
boredom	Langeweile
dibrospidium chloride	Dibrospidiumchlorid
microglia	Mikroglia
ortetamine	Ortetamin
CRPC	kastrationsresistentes Prostatakarzinom|kastrationsresistenter Prostatakrebs|CRPC
castrate-resistant prostate cancer	kastrationsresistentes Prostatakarzinom|kastrationsresistenter Prostatakrebs|CRPC
castration-resistant prostate cancer	kastrationsresistentes Prostatakarzinom|kastrationsresistenter Prostatakrebs|CRPC
Broca's area	Broca-Region|Broca-Sprachregion|Broca-Sprachzentrum
Chaussier sign of maturity	Chaussier Reifezeichen
amidapsone	Amidapson
physiological stress testing	Untersuchung von physiologischem Streß
cumulative incidence rate	kumulierter Inzidenzwert
semi-conservative DNA replication	semikonservative DNS-Replikation
fibro-adenoma	Fibroadenoma|Fibroadenom|Adenofibroma|Adenofibrom
adenofibroma	Fibroadenoma|Fibroadenom|Adenofibroma|Adenofibrom
crural truss	Schenkelbruchband
Schatz third circulation	Schatz-Kreislauf|Dritter Kreislauf|Zwischenkreislauf
enisoprost	Enisoprost
heritable genetic damage	vererbbarer genetischer Schaden
sterile linen	sterile Waesche
Nested case control study	eingenistete Fall-Kontroll-Studie
medical classification	medizinische Einteilung
polysyndactyly	Polysyndaktylie
misoprostol	Misoprostol
primary and secondary prevention	primäre und sekundäre Vorbeugung
counterfeit medicinal product	Arzneimittelfälschung
counterfeit medicine	Arzneimittelfälschung
occupational skin cancer	berufsbedingter Hautkrebs
haptics	Haptik|Technik der Berührungsrückkopplung
technology for tactile feedback	Haptik|Technik der Berührungsrückkopplung
cytokine storm syndrome	Hyperzytokinämie|Zytokinsturm
CSS	Hyperzytokinämie|Zytokinsturm
febuverine	Febuverin
attributable risk	der Exposition zuschreibbarer Risikoanteil|zuschreibbares Risiko|Überschußrisiko|bevölkerungsattributabler Risikoanteil
available nutrient	verwertbarer Nährstoff
dislocation	Dislokation|Luxation|Verrenkung
luxation	Dislokation|Luxation|Verrenkung
submaxillary lymph node	Kehlgangslymphknoten
finger paint	Fingerfarbe
carcinoid tumor	Karzinoid
subacute encephalitis	subakute Enzephalitis
diffusion resistance	Diffusionsbarriere
sweet marjoram	Majoran
long stretch of DNA	DNA-Segment
bauxite pneumoconiosis	Bauxit-Pneumokoniose
bauxite workers'disease	Bauxit-Pneumokoniose
bauxite workers'lung	Bauxit-Pneumokoniose
bauxite worker's disease	Bauxit-Pneumokoniose
bauxite fume pneumoconiosis	Bauxit-Pneumokoniose
tamoxifen	Tamoxifen
radiographic ECG-respirator synchroniser	Röntgen-EKG-Beatmungsgerät-Synchronisierer
ceftiolene	Ceftiolen
crushing	Grobzerkleinerung|Zerkleinerung|Grobschroten|Brechen
police drug squad	Rauschgiftdezernate der Polizei
fluotracen	Fluotracen
cancer chemotherapist	Chemotherapeut
spasmolytic	spasmolytisch|krampflösend
time cluster	zeitliche Cluster
curative medicine	kurative Medizin
common-salt bath	Kochsalzbad
normorphine	Normorphin
potassium caseinate	Kaliumkaseinat
calcifediol	Calcifediol
medroxyprogesterone	Medroxyprogesteron
colour development buffer	Farbenentwicklungs-Pufferlösung
AD/HD	Aufmerksamkeitsdefizit-Störung mit Hyperaktivität|Aufmerksamkeitsdefizit- und Hyperaktivitätssyndrom|ADHS|Aufmerksamkeitsdefizit- und Hyperaktivitätsstörung
acute reference dose	akute Referenzdosis|ARfD
ARfD	akute Referenzdosis|ARfD
increased longevity	Lebensverlängerung
safety factor	Sicherheitsfaktor
sense of inferiority	Minderwertigkeitskomplex
inferiority complex	Minderwertigkeitskomplex
after-care of drugdependent offenders	Resozialisierung des Drogentäters
wrinkle	Falte
sterilisation	Sterilisation
reafference message	Reafferenz-Meldung
fermentability	Gaerkraft|Gaerfaehigkeit
fermentative ability	Gaerkraft|Gaerfaehigkeit
embryotoxicity	Embryotoxizität|embryonale Toxizität
mitt	Fausthandschuh|Fäustling
mitten	Fausthandschuh|Fäustling
oxyphencyclimine	Oxyphencyclimin
antiproliferative	antiproliferativ
cardiology	Kardiologie
outburst of temper	Zornausbruch
fit of temper	Zornausbruch
organ donor	Organspender
fosfosal	Fosfosal
acquired stupor	Stupor
allowance rate	Aequivalenzparameter Steigerungsmass|Halbierungsparameter
exchange rate	Aequivalenzparameter Steigerungsmass|Halbierungsparameter
SRH	sexuelle und reproduktive Gesundheit
sexual and reproductive health	sexuelle und reproduktive Gesundheit
ocular dominance column	Augendominanz-Säule
oligodynamic	oligodynamisch
neoformation	Neubildung
infiltration	Blockade|Infiltration|Infiltrierung
cargutocin	Cargutocin
deep and superficial cervical lymph glands	Halsdrüsen
latent immunization	latente Immunisation
costs of fitting	Kosten fuer das Anpassen
increased vascular resistance	Anstieg des Gefässwiderstandes
benign prostate hyperplasia	benigne Prostatahyperplasie|BPH
BPH	benigne Prostatahyperplasie|BPH
platelet adhesion	Thrombozytenadhäsion
arteriolar	arteriolär
Multinomial distribution	Multinomialverteilung
implicit memory	implizites Gedächtnis
procedural memory	implizites Gedächtnis
the protein becomes anchored in the cell membrane	das Protein verankert sich in der Zellmembran
monograph	Monographie
body burden	Körperaktivität|Körperbelastung
immunocyte	Leukozyt|weißes Blutkörperchen|Immunzelle|Immunozyt
white corpuscle	Leukozyt|weißes Blutkörperchen|Immunzelle|Immunozyt
leukocyte	Leukozyt|weißes Blutkörperchen|Immunzelle|Immunozyt
white blood cell	Leukozyt|weißes Blutkörperchen|Immunzelle|Immunozyt
immune cell	Leukozyt|weißes Blutkörperchen|Immunzelle|Immunozyt
CD4 receptor	CD4 Rezeptor
older infants and young children	Kleinkinder und Kindergartenkinder
empyema	Empyema|Empyem
pyothorax	Empyema|Empyem
thoracic empyema	Empyema|Empyem
Max-Planck-Institute for Molecular Genetics	Max-Planck-Institut für Molekulare Genetik|MPIMG
inhibition	Hemmung|hemmende Wirkung
stomatic mechanism	Mechanismus der Stomata
prucalopride	Prucaloprid
tumour marker	Tumormarker
papaveroline	Papaverolin
E 327	Calciumlactat|E 327
calcium lactate	Calciumlactat|E 327
exceptional circumstances	außergewöhnliche Umstände
dPLF	digitales Reiseformular
digital Passenger Locator Form	digitales Reiseformular
European self-sufficiency in blood products	Europäische Autarkie hinsichtlich Blutprodukten
target muscle	Zielmuskel
oxandrolone	Oxandrolon
lambliasis	Lambliasis|Giardiasis
giardiasis	Lambliasis|Giardiasis
mother-to-child transmission	perinatale Übertragung
Petra	perinatale Übertragung
MTCT	perinatale Übertragung
perinatal transmission	perinatale Übertragung
dietary sulphate	Sulfatzufuhr aus der Nahrung
resistance time in an artificial gastric medium	Resistenzzeit im künstlichen Magensaft
antibody reacting with core proteins	Antikörper,der mit Kernproteinen reagiert
auditory area	Hoersphaere|kortikales Hoerzentrum
biotic climax	biotische Klimax
Seveso II Directive	Richtlinie zur Beherrschung der Gefahren bei schweren Unfällen mit gefährlichen Stoffen|Seveso-II-Richtlinie
Directive for the prevention of major-accident hazards involving dangerous substances	Richtlinie zur Beherrschung der Gefahren bei schweren Unfällen mit gefährlichen Stoffen|Seveso-II-Richtlinie
new substances	neue Stoffe|neue Substanzen|neue Wirkstoffe
spectrometer	Spektrometer
fumaric acid	E 297|Fumarsäure
E 297	E 297|Fumarsäure
modifier of biological responses	Medikament,das das biologische Verhalten beeinflußt
nigerose	Nigerose
copper methionate	Kupfermethionat
inscription	Inscriptio
genetic polymorphism	genetischer Polymorphismus
gene polymorphism	genetischer Polymorphismus
inspiratory capacity	IK|Inspirationskapazität|inspiratorische Kapazität|IC
IC	IK|Inspirationskapazität|inspiratorische Kapazität|IC
oral hairy leucoplakia	haarige Leukoplakie|durch weiße, faserige Flecken gekennzeichnete Zunge
ACh	Acetylcholin|Azetylcholin
acetylcholine	Acetylcholin|Azetylcholin
VMP	Tierarzneimittel
veterinary medicinal product	Tierarzneimittel
veterinary medicine	Tierarzneimittel
veterinary drug	Tierarzneimittel
toxicokinetic study	toxikokinetische Studie
committee of drug coordinators	Ausschuss von Drogenkoordinatoren
epicatechin	Epicatechin
prednimustine	Prednimustin
hexobarbital	Hexobarbital
calcium benzamidosalicylate	Calciumbenzamidosalicylat
opisthencephalon	Cerebellum|Kleinhirn
cerebellum	Cerebellum|Kleinhirn
hematopoietic system cell	Zelle des hematopoietischen Systems
reduplication	Duplikatur
duplication	Duplikatur
microglobulin	Mikroglobulin
biological criteria	biologische Kriterien
International Convention for the Suppression of Illicit Traffic in Dangerous Drugs	Internationales Abkommen zur Unterdrückung des unerlaubten Handels mit Betäubungsmitteln
kojibiose	Kojibiose
dimethylarsenic acid	Dimethylarsensaüre
building-related illness	gebäudebedingte Krankheit
BRI	gebäudebedingte Krankheit
with bioaffinity	bioaffin
halopenium chloride	Halopeniumchlorid
ayurvedic therapy	Ayurveda
ayurvedic medicine	Ayurveda
ayurveda	Ayurveda
mutate	mutieren
community immunity	Herdenimmunität|Herdenschutz
herd immunity	Herdenimmunität|Herdenschutz
anti-depressant drugs	Antidepressiva|aufputschende Mittel|anregende Mittel
flutomidate	Flutomidat
centric fusion	Centromerfusion
besulpamide	Besulpamid
endoscopic retrograde pancreatography	ERP|endoskopische retrograde Pankreatokographie
ERP	ERP|endoskopische retrograde Pankreatokographie
health education in schools	Gesundheitserziehung in Schulen
artery	Pulsader|Schlagader|Arterie|Arteria
chiniofon	Chiniofon
air conditioner pneumonitis	Befeuchterfieber|Befeuchterlunge
humidifier lung	Befeuchterfieber|Befeuchterlunge
humidifier fever	Befeuchterfieber|Befeuchterlunge
ventilation pneumonitis	Befeuchterfieber|Befeuchterlunge
deboxamet	Deboxamet
cardiac resynchronisation therapy	KRT|kardiale Resynchronisationstherapie
biventricular pacing	KRT|kardiale Resynchronisationstherapie
CRT	KRT|kardiale Resynchronisationstherapie
hepatogram	Hepatogramm
oxaloacetic acid	Oxalessigsaüre
ioflupane (123 I)	Ioflupan (123 I)
laboratory biocontainment	biologisches Containment
biocontainment	biologisches Containment
biological containment	biologisches Containment
loudness level	Lautstärkepegel
people previously infected by HIV	bereits mit HIV infizierte Person
coriandri aetheroleum	Coriandri aetheroleum
lateral projection	Lateral-Projektion
razinodil	Razinodil
functional virus	funktionsfähiges Virusteilchen
idrapril	Idrapril
quality review of documents	Quality Review of Documents (Qualitätsüberprüfung von Dokumenten)|QRD
QRD	Quality Review of Documents (Qualitätsüberprüfung von Dokumenten)|QRD
mandatory premarital screening	allgemeine voreheliche Pflichtuntersuchung
atrophy	Atrophie
health inspection fee	Gebühr für die veterinärrechtlichen und hygienerechtlichen Kontrollen
maxillo-facial surgery	Mund-Kiefer-Gesichtschirurgie
Hospital separation	Krankenhausabgang
monesin	Monesin
FRAXA syndrome	fra(X)-Syndrom|FXS|Fragiles-X-Syndrom|Martin-Bell-Syndrom|MBS|Marker-X-Syndrom
fragile x chromosome syndrome	fra(X)-Syndrom|FXS|Fragiles-X-Syndrom|Martin-Bell-Syndrom|MBS|Marker-X-Syndrom
Martin-Bell syndrome	fra(X)-Syndrom|FXS|Fragiles-X-Syndrom|Martin-Bell-Syndrom|MBS|Marker-X-Syndrom
fragile X syndrome	fra(X)-Syndrom|FXS|Fragiles-X-Syndrom|Martin-Bell-Syndrom|MBS|Marker-X-Syndrom
FXS	fra(X)-Syndrom|FXS|Fragiles-X-Syndrom|Martin-Bell-Syndrom|MBS|Marker-X-Syndrom
FRAX	fra(X)-Syndrom|FXS|Fragiles-X-Syndrom|Martin-Bell-Syndrom|MBS|Marker-X-Syndrom
Fra-X syndrome	fra(X)-Syndrom|FXS|Fragiles-X-Syndrom|Martin-Bell-Syndrom|MBS|Marker-X-Syndrom
prefrontal neuron	Neuron des präfrontalen Cortex
interpersonal violence	zwischenmenschliche Gewalt
tetroquinone	Tetroquinon
World Confederation for Physical Therapy	Weltverband für Krankengymnastik
WCPT	Weltverband für Krankengymnastik
UV-B	UV-B|Sonnenstrahlung im ultravioletten Bereich, die biologisch wirksam ist
solar ultraviolet radiation having biological effects	UV-B|Sonnenstrahlung im ultravioletten Bereich, die biologisch wirksam ist
scrotal skin	Skrotumhaut
lean meat	Muskelfleisch|Magerfleisch|mageres Fleisch
respiratory rate,f	AF|Atemfrequenz
pacifier thermometer	Schnuller-Thermometer
hymecromone	Hymecromon
lead nephropathy	Bleischrumpfniere|Nephropathia saturnina|Bleinephropathie
pioglitazone	Pioglitazon
containment	Containment|Gen-Labor
postsynaptic event	postsynaptisches Ereignis
organic chemicals	organische Stoffe
homologous use	homologer Gebrauch
teratogenic substance	Teratogen
teratogen	Teratogen
cytoplasmatic inheritance	zytoplasmatische Vererbung
gingivitis	Gingivitis
ulitis	Gingivitis
coumazoline	Cumazolin
mouthpiece part	Mundstück
non-viability of the embryo	Nichtlebensfähigkeit des Embryos
thymalfasin	Thymalfasin
epiroprim	Epiroprim
toxic effect	Giftwirkung|toxische Auswirkung|toxische Wirkung
counter irritant property	blasenziehende Eigenschaft
signs that organs have adhered to the pleura and the peritoneum	Verklebungen oder Verwachsungen von Organen mit Brustfell oder Bauchfell
membranous cataract	Cataracta membranacea
brain chemistry	chemische Struktur des Gehirns
meprobamate	Meprobamat
telomeric	telomerisch
re-growth promotion	Förderung der Regeneration
mucopolysaccharidosis type I	Hurler-Scheie-Syndrom|Mukopolysaccharidose Typ I-H/S
mucopolysaccharidosis type I H/S	Hurler-Scheie-Syndrom|Mukopolysaccharidose Typ I-H/S
MPS I-H/S	Hurler-Scheie-Syndrom|Mukopolysaccharidose Typ I-H/S
Hurler-Scheie syndrome	Hurler-Scheie-Syndrom|Mukopolysaccharidose Typ I-H/S
residual volume	absolutes Residualvolumen|Residualluft|Residualvolumen|RV
RV	absolutes Residualvolumen|Residualluft|Residualvolumen|RV
psychodrama	Psychodrama
haemorrhagic	hämorrhagisch
cevimeline	Cevimelin
bidirectional microphone	zweiseitig gerichtetes Mikrophon
ALDH	ALDH|Aldehyddehydrogenase
aldehyde dehydrogenase	ALDH|Aldehyddehydrogenase
biological cycle of the parasite	biologischer Zyklus des Parasiten
metatarsus	Metatarsus
amiquinsin	Amichinsin
differential diagnosis	Differenzialdiagnose
dioxamate	Dioxamat
voriconazole	Voriconazol
acetiamine	Acetiamin
learning theory	Theorie des Lernens
cell-surface protein	auf der Zelloberfläche sitzendes Protein
semiconductor spectrometer	Halbleiterspektrometer
sensitive volume	empfindliches Volumen
alendronic acid	Alendroninsäure
one gene speeds up protein synthesis	ein Gen stimuliert die Proteinsynthese
uricosuric	Urikosurika
uricosuric agent	Urikosurika
rifamexil	Rifamexil
neonatal period	Neugeborenenperiode|neonatale Periode
helminth	Enthelminth|Eingeweidewurm|Darmwurm
prescription habit	Verschreibungsgewohnheit
wild marjoram	Dost
individual gene map	individuelle Genkarte
welfare institution	Fürsorgeeinrichtung
pharmacological class effect	Wirkung der Stoffgruppe|pharmakologischer Klasseneffekt
opiate antagonist	Opiatantagonist|Opiat-Gegenmittel
opioid antagonist	Opiatantagonist|Opiat-Gegenmittel
personal environment	persönliches Umfeld
audible range	Hörbereich
audibility range	Hörbereich
Panel on contaminants in the food chain	Gremium für Kontaminanten in der Lebensmittelkette|CONTAM|Wissenschaftliches Gremium für Kontaminanten in der Lebensmittelkette
CONTAM	Gremium für Kontaminanten in der Lebensmittelkette|CONTAM|Wissenschaftliches Gremium für Kontaminanten in der Lebensmittelkette
Scientific Panel on contaminants in the food chain	Gremium für Kontaminanten in der Lebensmittelkette|CONTAM|Wissenschaftliches Gremium für Kontaminanten in der Lebensmittelkette
orestrate	Orestrat
ecchymosis	Ecchymosis|Ekchymose
Walker-Warburg syndrome	Lissenzephalie Typ II
WWS	Lissenzephalie Typ II
cauterizing stick	Aetzstift
coumafos	Coumafos
accl.	Anodenschliessungszuckung|ASZ
ACC	Anodenschliessungszuckung|ASZ
anodal closure clonus	Anodenschliessungszuckung|ASZ
Anodal Closure Contraction	Anodenschliessungszuckung|ASZ
nutrition research	Ernährungsforschung
systemic metabolism	systemischer Stoffwechsel
physical hazard	physikalische Gefahr
absorbed power	absorbierte Leistung
ATRA	all-trans-Retinsäure
all-trans-retinoic acid	all-trans-Retinsäure
malignant tumor	boesartiger Tumor|boesartige Geschwulst
afurolol	Afurolol
list of varieties	Sortenliste
piped oxygen and suction	Sauerstoff-und Leerluftleitungen
